Date,Numbers
1996/03/15,1
1996/04/05,1
1996/04/11,1
1996/05/22,1
1996/06/01,2
1996/06/02,3
1996/06/13,2
1996/06/16,1
1996/06/20,1
1996/06/23,1
1996/06/24,2
1996/07/03,2
1996/07/07,1
1996/07/09,1
1996/07/10,4
1996/07/11,2
1996/07/13,3
1996/07/16,1
1996/07/19,1
1996/07/21,1
1996/07/23,1
1996/08/01,2
1996/08/02,1
1996/08/03,3
1996/08/04,2
1996/08/05,1
1996/08/06,5
1996/08/09,2
1996/08/12,1
1996/08/14,1
1996/08/15,1
1996/08/17,1
1996/08/18,1
1996/08/19,1
1996/08/24,1
1996/08/26,1
1996/08/27,2
1996/08/29,1
1996/08/30,1
1996/09/01,1
1996/09/03,1
1996/09/04,4
1996/09/08,1
1996/09/17,1
1996/09/22,2
1996/09/23,1
1996/09/27,2
1996/09/28,1
1996/10/01,2
1996/10/04,1
1996/10/08,2
1996/10/10,1
1996/10/13,1
1996/10/14,1
1996/10/15,1
1996/10/17,2
1996/10/19,1
1996/10/22,1
1996/10/23,1
1996/10/24,2
1996/10/25,1
1996/10/26,1
1996/10/29,4
1996/10/30,1
1996/10/31,1
1996/11/01,2
1996/11/02,1
1996/11/03,2
1996/11/04,2
1996/11/06,1
1996/11/07,1
1996/11/08,1
1996/11/11,1
1996/11/12,3
1996/11/13,1
1996/11/20,1
1996/11/25,2
1996/11/26,1
1996/11/27,1
1996/12/01,1
1996/12/03,1
1996/12/05,2
1996/12/07,2
1996/12/09,2
1996/12/10,1
1996/12/11,1
1996/12/14,1
1996/12/15,1
1996/12/17,1
1996/12/18,2
1996/12/19,1
1996/12/20,1
1996/12/22,2
1996/12/23,1
1996/12/25,1
1996/12/27,1
1996/12/28,1
1996/12/31,1
1997/01/01,1
1997/01/05,2
1997/01/08,1
1997/01/09,1
1997/01/12,1
1997/01/21,1
1997/01/30,1
1997/01/31,2
1997/02/01,1
1997/02/02,2
1997/02/07,1
1997/02/08,2
1997/02/10,1
1997/02/11,2
1997/02/12,1
1997/02/13,1
1997/02/16,4
1997/02/17,1
1997/02/18,1
1997/02/20,1
1997/02/21,3
1997/02/23,1
1997/03/01,2
1997/03/05,2
1997/03/07,1
1997/03/08,1
1997/03/11,1
1997/03/13,1
1997/03/21,2
1997/03/24,1
1997/04/01,2
1997/04/02,2
1997/04/03,1
1997/04/05,2
1997/04/11,1
1997/04/15,1
1997/04/17,1
1997/04/18,1
1997/04/19,4
1997/04/22,1
1997/04/25,1
1997/04/27,1
1997/04/29,1
1997/04/30,1
1997/05/01,1
1997/05/04,1
1997/05/06,1
1997/05/11,2
1997/05/14,1
1997/05/15,1
1997/05/24,1
1997/05/26,2
1997/05/30,1
1997/06/09,3
1997/06/11,1
1997/06/19,1
1997/06/21,1
1997/06/22,1
1997/07/01,1
1997/07/02,1
1997/07/04,1
1997/07/05,2
1997/07/06,1
1997/07/10,1
1997/07/11,3
1997/07/14,1
1997/07/31,1
1997/08/05,3
1997/08/18,1
1997/08/20,1
1997/08/23,1
1997/09/10,1
1997/09/28,1
1997/10/01,1
1997/10/02,1
1997/10/05,1
1997/10/08,2
1997/10/09,2
1997/10/11,1
1997/10/14,1
1997/10/16,1
1997/10/17,1
1997/10/21,1
1997/10/26,1
1997/10/30,1
1997/11/01,1
1997/11/06,1
1997/11/16,1
1997/11/24,1
1997/11/27,2
1997/12/02,1
1997/12/05,1
1997/12/08,1
1997/12/13,1
1997/12/16,1
1998/01/05,1
1998/01/14,2
1998/01/15,2
1998/02/02,1
1998/02/10,1
1998/02/14,1
1998/02/22,2
1998/02/27,2
1998/02/28,1
1998/03/10,1
1998/03/13,2
1998/03/22,1
1998/03/30,2
1998/04/14,1
1998/05/05,1
1998/05/20,1
1998/05/25,1
1998/06/06,2
1998/10/22,1
1998/11/11,1
1998/11/27,1
1998/11/30,1
1998/12/01,1
1998/12/09,1
1998/12/12,1
1998/12/20,1
1999/02/07,1
1999/02/09,2
1999/02/10,1
1999/02/11,1
1999/02/20,1
1999/02/21,2
1999/02/22,1
1999/02/26,1
1999/02/27,1
1999/02/28,2
1999/03/01,1
1999/03/09,1
1999/03/10,2
1999/03/12,1
1999/03/14,2
1999/04/04,1
1999/04/17,1
1999/05/01,1
1999/05/07,1
1999/05/08,1
1999/05/20,1
1999/05/23,1
1999/05/24,1
1999/06/07,2
